pool;rank;team;pts;mj;bo;bd;v;n;d;pts_for;pts_against;diff;next_match;next_venue;source_url
Poule 1;1;Glasgow;15;3;3;0;3;0;0;87;63;24;SAR Dim. 18 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 1;2;Sale;11;3;2;1;2;0;1;82;50;32;ST Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 1;3;Saracens;10;3;1;1;2;0;1;90;52;38;GLA Dim. 18 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 1;4;Stade Toulousain;7;3;1;2;1;0;2;91;67;24;SAL Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 1;5;The Sharks;5;3;1;0;1;0;2;57;105;-48;ASM Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 1;6;Clermont;0;3;0;0;0;0;3;45;115;-70;SHA Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;1;Bath;11;3;3;0;2;0;1;117;79;38;EDI Ven. 16 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;2;Edimbourg;10;3;2;0;2;0;1;59;77;-18;BAT Ven. 16 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;3;Toulon;9;3;1;0;2;0;1;92;92;0;GLO Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;4;Munster;6;3;1;1;1;0;2;70;70;0;CO Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;5;Gloucester;6;3;1;1;1;0;2;61;71;-10;RCT Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 2;6;Castres;5;3;1;0;1;0;2;67;77;-10;MUN Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;1;Leinster;14;3;2;0;3;0;0;93;67;26;AB Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;2;Harlequins;11;3;3;0;2;0;1;157;69;88;ASR Dim. 18 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;3;Stormers;9;3;1;0;2;0;1;78;99;-21;TIG Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;4;La Rochelle;6;3;1;1;1;0;2;84;87;-3;HAR Dim. 18 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;5;Leicester;5;3;1;0;1;0;2;92;76;16;STO Sam. 17 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 3;6;Bayonne;0;3;0;0;0;0;3;45;151;-106;LEI Sam. 17 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;1;Bordeaux-Bègles;15;3;3;0;3;0;0;146;82;64;BRI Dim. 18 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;2;Bristol;14;3;2;0;3;0;0;139;77;62;UBB Dim. 18 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;3;Northampton;11;3;3;0;2;0;1;113;82;31;SCA Dim. 18 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;4;Pau;5;3;1;0;1;0;2;86;134;-48;BUL Ven. 16 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;5;Scarlets;2;3;1;1;0;0;3;75;114;-39;NOR Dim. 18 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
Poule 4;6;Bulls;2;3;2;0;0;0;3;87;157;-70;SP Ven. 16 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
