rank;team;pts;mj;bo;bd;v;n;d;pts_for;pts_against;diff;next_match;next_venue;source_url
1;Stade Toulousain;48;14;8;2;10;0;4;559;311;248;SP Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
2;Pau;47;14;5;2;10;0;4;441;349;92;ST Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
3;Stade Français;39;14;5;4;7;1;6;422;342;80;UBB Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
4;Bordeaux-Bègles;39;14;5;2;8;0;6;458;363;95;SFP Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
5;Toulon;39;14;6;1;8;0;6;396;430;-34;MHR Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
6;Montpellier;38;14;5;3;7;1;6;406;303;103;RCT Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
7;La Rochelle;36;14;5;3;7;0;7;436;342;94;ASM Dim. 25 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
8;Clermont;36;14;4;0;8;0;6;469;383;86;ASR Dim. 25 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
9;Bayonne;34;14;2;0;8;0;6;396;472;-76;CO Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
10;Castres;33;14;1;4;7;0;7;332;380;-48;AB Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
11;Racing 92;33;14;2;1;7;1;6;384;416;-32;LOU Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
12;Lyon;27;14;2;1;6;0;8;357;418;-61;R92 Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
13;Perpignan;9;14;0;1;2;0;12;221;400;-179;USM Sam. 24 Jan.;À domicile;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
14;Montauban;7;14;0;1;1;1;12;289;657;-368;USAP Sam. 24 Jan.;À l'extérieur;https://www.ubbrugby.com/equipes/equipe-premiere/classement.html
