date,competition,journee,team_home,team_away,score_home,score_away,source_url
Vendredi 22 août 2025,Amical Clubs,,Angoulême,Bordeaux-Bègles,14,29,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Jeudi 28 août 2025,Amical Clubs,,Montauban,Bordeaux-Bègles,28,35,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 6 septembre 2025,Top 14,1re journée,Bordeaux-Bègles,La Rochelle,23,18,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Dimanche 14 septembre 2025,Top 14,2e journée,Racing 92,Bordeaux-Bègles,44,32,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 20 septembre 2025,Top 14,3e journée,Bordeaux-Bègles,Montauban,71,24,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 27 septembre 2025,Top 14,4e journée,Stade Français,Bordeaux-Bègles,28,7,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 4 octobre 2025,Top 14,5e journée,Bordeaux-Bègles,Lyon,32,20,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Dimanche 12 octobre 2025,Top 14,6e journée,Stade Toulousain,Bordeaux-Bègles,56,13,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 18 octobre 2025,Top 14,7e journée,Perpignan,Bordeaux-Bègles,12,27,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 25 octobre 2025,Top 14,8e journée,Bordeaux-Bègles,Bayonne,41,12,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 1 novembre 2025,Top 14,9e journée,Castres,Bordeaux-Bègles,26,28,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Vendredi 21 novembre 2025,Top 14,10e journée,Bordeaux-Bègles,Pau,33,34,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 29 novembre 2025,Top 14,11e journée,Montpellier,Bordeaux-Bègles,28,24,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 6 décembre 2025,Champions Cup,1re journée,Bulls,Bordeaux-Bègles,33,46,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 13 décembre 2025,Champions Cup,2e journée,Bordeaux-Bègles,Scarlets,50,21,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Dimanche 21 décembre 2025,Top 14,12e journée,Bordeaux-Bègles,Toulon,46,7,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 27 décembre 2025,Top 14,13e journée,Clermont,Bordeaux-Bègles,34,19,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Samedi 3 janvier 2026,Top 14,14e journée,Bordeaux-Bègles,Racing 92,62,20,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
Dimanche 11 janvier 2026,Champions Cup,3e journée,Bordeaux-Bègles,Northampton,50,28,https://www.ubbrugby.com/equipes/equipe-premiere/calendrier-resultats.html
